high(0);last(1);created_at(2);book(3);volumne(4);vwa(5);low(6);ask(7);bid(8);ask_avg_price(9);ask_avg_amount(10);bid_avg_price(11);bid_avg_amount(12);avg_trade_sell_amount(13);avg_trade_buy_amount(14);sentiment_Twitter(15);interest_trends(16);time_stamp(17)
2563.00;2563.00;2019-03-15T12:20:56+00:00;eth_mxn;392.77936510;2529.87349678;2537.01;2566.23;2541.18;2622.892;16.877825705;2689.01;0.08702857;0.7109843542;0.5515799358;-1.0;47.5;1552652520.21834
2563.00;2563.00;2019-03-15T12:22:29+00:00;eth_mxn;392.77936510;2529.87349678;2537.01;2567.39;2541.29;2625.1162;15.9391242602;2690.0;1.4435557;0.7109843542;0.5515799358;1.0;48.1355932203;1552652637.6790533
2563.00;2563.00;2019-03-15T12:24:27+00:00;eth_mxn;367.03028817;2531.04415091;2537.01;2567.00;2541.87;2620.2034;16.6921475736;2681.7;0.016;0.7109843542;0.5515799358;1.0;49.1440677966;1552652745.8794422
2618.90;2605.00;2019-03-15T21:21:23+00:00;eth_mxn;366.43364017;2565.69521966;2537.01;2605.00;2595.00;2661.5374;14.6492248878;2712.19;0.0307577;0.484923866111;0.738139395652;1.0;42.0423728814;1552685001.1365883
2618.90;2575.03;2019-03-15T23:22:59+00:00;eth_mxn;440.08020940;2571.68704678;2537.01;2599.99;2575.94;2663.3828;15.003475835;2718.17;0.02719517;1.72186233087;0.707101653519;-4.0;39.1610169492;1552692351.4362907
2650.00;2623.18;2019-03-16T03:35:18+00:00;eth_mxn;562.45989889;2582.56005843;2537.01;2647.00;2635.00;2689.1436;14.7492916756;2740.26;16.8;0.918651470781;0.677321018611;0.0;36.6896551724;1552707524.4473777
2709.98;2642.49;2019-03-16T12:20:54+00:00;eth_mxn;910.74864019;2620.85746616;2642.39;2708.83;2645.07;2775.3334;18.6109681462;2884.0;0.18425926;0.97313644898;2.62364227039;2.0;10.9830508475;1552739003.1521418
2709.98;2660.00;2019-03-16T12:23:53+00:00;eth_mxn;910.80071627;2620.85894373;2642.39;2706.68;2661.78;2775.268;17.5210214896;2884.0;0.18425926;0.974022931224;2.62364227039;5.0;11.0254237288;1552739208.0973096
2709.98;2660.00;2019-03-16T13:29:38+00:00;eth_mxn;910.67286481;2621.14622180;2641.51;2666.60;2647.19;2754.145;17.5621296912;2850.0;66.82611149;0.652322885714;1.98969345118;3.0;42.6949152542;1552743048.329178
2650.00;2626.73;2019-03-17T12:20:51+00:00;eth_mxn;312.11138982;2644.51634833;2619.73;2649.98;2625.57;2745.991;16.8901403962;2840.49;0.02801102;1.36746886176;0.474678086939;-1.0;5.35593220339;1552825387.0275474
2650.00;2626.73;2019-03-17T12:23:36+00:00;eth_mxn;312.05931374;2644.51598393;2619.73;2649.98;2627.99;2745.973;9.3161403962;2840.49;0.02801102;1.36746886176;0.474678086939;3.0;5.28813559322;1552825516.1380212
2688.33;2628.10;2019-03-17T20:35:17+00:00;eth_mxn;239.92901001;2640.99948640;2619.73;2650.00;2632.18;2740.993;16.9712892476;2830.05;1.855156;0.740083035833;0.457970342344;2.0;51.4655172414;1552855094.9639895
2675.56;2600.53;2019-03-18T12:20:51+00:00;eth_mxn;203.63667163;2651.11369571;2600.02;2635.09;2601.36;2741.4702;16.3002507474;2830.05;1.855156;0.366587335455;0.409871851791;1.0;39.3898305085;1552911752.6552522
2675.56;2600.53;2019-03-18T12:23:02+00:00;eth_mxn;203.63667163;2651.11369571;2600.02;2640.74;2603.59;2734.2178;15.9503878244;2820.0;0.01757509;0.366587335455;0.409871851791;2.0;39.4137931034;1552911903.167948
2675.56;2605.10;2019-03-18T12:25:33+00:00;eth_mxn;204.64932497;2650.79737640;2600.02;2638.81;2606.32;2749.8064;15.9006678054;2845.0;10.81503288;0.396698494667;0.406772391571;2.0;40.1525423729;1552912038.4997818
2675.56;2592.00;2019-03-19T00:27:40+00:00;eth_mxn;314.13349641;2607.28496011;2585.20;2627.02;2592.11;2699.1682;17.4290557678;2766.75;0.0121269;0.271874917333;1.51393790543;0.0;44.3389830508;1552955410.5157614
2627.40;2590.00;2019-03-19T12:20:58+00:00;eth_mxn;275.33238997;2592.51162027;2590.00;2620.67;2590.06;2694.9102;17.2346028612;2760.6;0.38507752;0.843646789677;0.293032415507;1.0;31.2118644068;1552998172.9096694
2627.40;2590.00;2019-03-19T12:23:22+00:00;eth_mxn;275.33238997;2592.51162027;2590.00;2622.77;2590.03;2695.187;17.4150223412;2760.6;0.38507752;0.843646789677;0.293032415507;0.0;31.4913793103;1552998313.2506382
2629.55;2618.10;2019-03-20T05:29:23+00:00;eth_mxn;376.51015130;2594.89329127;2580.00;2617.07;2592.34;2686.8024;16.0194902994;2755.0;0.5;0.63740432475;0.448778447833;-1.0;43.724137931;1553059963.2570808
2608.89;2606.00;2019-03-20T12:20:55+00:00;eth_mxn;386.38526116;2594.16864448;2583.00;2614.98;2591.14;2685.6768;15.7029289772;2752.0;0.0037;0.566963340909;0.450427451194;-1.0;49.9491525424;1553084618.4289727
